,image,x,y,w,h,label
0,ball0000.jpg,200.34,113.73,45.13,45.59,7
1,ball0001.jpg,202.39,113.73,44.68,45.59,7
2,ball0002.jpg,203.3,113.73,44.68,45.13,7
3,ball0003.jpg,203.3,114.19,44.68,44.9,7
4,ball0004.jpg,201.94,114.19,45.35,45.58,7
5,ball0005.jpg,201.94,115.78,45.13,44.9,7
6,ball0006.jpg,201.71,115.78,45.36,45.36,7
7,ball0007.jpg,201.03,116.24,45.35,45.36,7
8,ball0008.jpg,201.03,116.47,44.67,46.27,7
9,ball0009.jpg,200.34,116.47,45.13,46.95,7
10,ball0010.jpg,200.34,117.61,44.67,46.49,7
11,ball0011.jpg,199.89,117.83,44.44,46.27,7
12,ball0012.jpg,199.43,118.52,44.67,46.49,7
13,ball0013.jpg,198.97,119.43,44.22,46.04,7
14,ball0014.jpg,198.29,119.89,44.22,46.49,7
15,ball0015.jpg,198.06,119.89,44.45,46.26,7
16,ball0016.jpg,196.92,120.34,45.59,46.5,7
17,ball0017.jpg,196.92,121.25,44.9,46.27,7
18,ball0018.jpg,196.92,121.48,44.9,46.04,7
19,ball0019.jpg,196.24,122.17,45.36,46.04,7
20,ball0020.jpg,196.24,122.17,44.44,46.95,7
21,ball0021.jpg,196.24,122.17,44.22,46.95,7
22,ball0022.jpg,196.24,122.85,44.44,46.27,7
23,ball0023.jpg,195.1,123.3,44.67,46.5,7
24,ball0024.jpg,194.87,123.53,44.45,46.27,7
25,ball0025.jpg,194.87,123.53,44.45,46.27,7
26,ball0026.jpg,194.19,123.76,44.44,46.27,7
27,ball0027.jpg,193.28,123.99,45.12,46.95,7
28,ball0028.jpg,193.05,123.99,44.9,46.95,7
29,ball0029.jpg,193.05,123.99,44.21,46.95,7
30,ball0030.jpg,192.36,123.53,44.68,46.04,7
31,ball0031.jpg,191.91,123.3,44.22,46.04,7
32,ball0032.jpg,191.91,122.39,44.44,46.5,7
33,ball0033.jpg,191.22,121.71,44.68,47.18,7
34,ball0034.jpg,190.77,121.25,44.67,46.5,7
35,ball0035.jpg,190.77,121.48,44.67,46.04,7
36,ball0036.jpg,190.54,121.03,44.9,46.26,7
37,ball0037.jpg,190.31,121.48,44.45,46.27,7
38,ball0038.jpg,190.31,121.48,44.22,46.04,7
39,ball0039.jpg,190.09,122.17,44.44,46.26,7
40,ball0040.jpg,190.09,122.17,44.44,46.26,7
41,ball0041.jpg,190.31,121.71,44.22,46.95,7
42,ball0042.jpg,190.31,121.71,44.22,46.95,7
43,ball0043.jpg,190.09,122.17,44.67,46.26,7
44,ball0044.jpg,190.54,122.17,44.45,46.49,7
45,ball0045.jpg,190.54,122.17,44.45,46.72,7
46,ball0046.jpg,190.31,123.53,44.22,45.81,7
47,ball0047.jpg,190.09,123.53,44.44,45.59,7
48,ball0048.jpg,190.09,123.76,44.44,46.04,7
49,ball0049.jpg,189.63,123.76,44.44,46.27,7
50,ball0050.jpg,189.17,123.76,44.68,46.5,7
51,ball0051.jpg,189.17,123.76,44.68,46.5,7
52,ball0052.jpg,189.17,123.99,44.22,46.04,7
53,ball0053.jpg,189.17,123.99,44.22,46.04,7
54,ball0054.jpg,188.03,125.81,45.59,45.59,7
55,ball0055.jpg,187.58,125.58,44.21,46.73,7
56,ball0056.jpg,186.44,125.58,44.67,46.96,7
57,ball0057.jpg,186.21,126.04,44.22,46.5,7
58,ball0058.jpg,185.98,125.81,44.22,46.95,7
59,ball0059.jpg,185.98,125.81,44.68,46.95,7
60,ball0060.jpg,185.07,125.81,44.45,46.95,7
61,ball0061.jpg,183.48,125.81,44.67,46.5,7
62,ball0062.jpg,180.74,127.41,43.99,45.58,7
63,ball0063.jpg,177.55,127.41,43.76,46.72,7
64,ball0064.jpg,174.36,132.42,43.99,43.08,7
65,ball0065.jpg,170.26,132.42,44.67,44.9,7
66,ball0066.jpg,165.93,131.97,46.26,46.72,7
67,ball0067.jpg,161.82,133.11,47.64,46.95,7
68,ball0068.jpg,157.95,134.24,47.41,48.55,7
69,ball0069.jpg,153.16,135.61,48.09,48.78,7
70,ball0070.jpg,150.43,136.75,45.81,49.01,7
71,ball0071.jpg,145.41,139.26,49.01,49,7
72,ball0072.jpg,141.31,141.54,49.23,50.37,7
73,ball0073.jpg,137.21,142.91,49.68,49.23,7
74,ball0074.jpg,133.79,143.82,49.69,51.51,7
75,ball0075.jpg,129.23,144.96,50.14,51.05,7
76,ball0076.jpg,125.58,145.19,50.37,52.19,7
77,ball0077.jpg,123.53,144.5,50.83,52.88,7
78,ball0078.jpg,122.39,142.22,51.06,54.02,7
79,ball0079.jpg,122.17,140.17,52.42,54.02,7
80,ball0080.jpg,122.85,137.21,52.65,54.7,7
81,ball0081.jpg,123.99,133.11,52.88,55.15,7
82,ball0082.jpg,125.81,129,52.88,56.3,7
83,ball0083.jpg,127.41,125.58,53.33,54.7,7
84,ball0084.jpg,130.6,120.57,53.33,56.3,7
85,ball0085.jpg,133.56,118.06,54.7,55.84,7
86,ball0086.jpg,135.84,115.78,54.02,55.62,7
87,ball0087.jpg,136.52,113.73,54.48,55.84,7
88,ball0088.jpg,138.12,112.82,55.38,56.07,7
89,ball0089.jpg,139.72,111.91,55.15,56.75,7
90,ball0090.jpg,140.85,110.54,54.93,56.75,7
91,ball0091.jpg,142.22,109.17,55.84,57.67,7
92,ball0092.jpg,143.82,108.03,55.84,58.81,7
93,ball0093.jpg,144.05,107.12,56.75,59.03,7
94,ball0094.jpg,143.82,106.21,56.98,60.4,7
95,ball0095.jpg,144.05,105.53,56.52,59.94,7
96,ball0096.jpg,143.82,105.76,56.98,59.94,7
97,ball0097.jpg,142.91,108.03,58.12,60.4,7
98,ball0098.jpg,142.91,109.86,58.34,60.17,7
99,ball0099.jpg,142.45,111.23,58.58,61.76,7
100,ball0100.jpg,141.08,111.91,59.26,62.68,7
101,ball0101.jpg,140.17,113.5,60.17,62.68,7
102,ball0102.jpg,138.58,114.19,60.62,64.04,7
103,ball0103.jpg,137.44,113.73,60.62,64.73,7
104,ball0104.jpg,136.75,113.28,60.86,64.27,7
105,ball0105.jpg,135.61,113.5,61.31,63.59,7
106,ball0106.jpg,135.38,112.82,62.45,64.05,7
107,ball0107.jpg,134.93,111.91,63.13,64.04,7
108,ball0108.jpg,134.02,111.45,63.81,64.73,7
109,ball0109.jpg,133.56,109.63,63.82,66.32,7
110,ball0110.jpg,132.42,107.81,64.96,67.46,7
111,ball0111.jpg,132.42,107.12,64.05,67.24,7
112,ball0112.jpg,132.19,105.98,64.28,68.15,7
113,ball0113.jpg,132.65,105.07,65.18,68.38,7
114,ball0114.jpg,134.25,103.93,65.41,69.06,7
115,ball0115.jpg,136.07,102.79,66.55,69.06,7
116,ball0116.jpg,137.89,102.11,66.78,68.6,7
117,ball0117.jpg,140.85,100.97,65.87,67.92,7
118,ball0118.jpg,142.91,99.601,66.78,68.829,7
119,ball0119.jpg,145.87,98.234,66.32,69.746,7
120,ball0120.jpg,147.24,97.322,67.23,69.518,7
121,ball0121.jpg,148.38,96.638,67.46,69.292,7
122,ball0122.jpg,149.52,95.726,68.6,69.744,7
123,ball0123.jpg,150.66,95.726,69.51,69.744,7
124,ball0124.jpg,151.57,96.182,68.6,71.568,7
125,ball0125.jpg,151.79,97.55,68.84,71.57,7
126,ball0126.jpg,152.02,99.829,68.61,72.251,7
127,ball0127.jpg,150.2,102.11,69.51,73.16,7
128,ball0128.jpg,148.38,103.02,70.88,72.25,7
129,ball0129.jpg,148.15,104.39,71.11,72.48,7
130,ball0130.jpg,147.24,105.07,70.65,72.94,7
131,ball0131.jpg,145.41,105.98,71.34,73.62,7
132,ball0132.jpg,144.27,105.98,72.25,74.3,7
133,ball0133.jpg,143.82,105.76,71.34,75.44,7
134,ball0134.jpg,142.45,105.98,71.57,74.99,7
135,ball0135.jpg,141.54,106.67,72.02,74.75,7
136,ball0136.jpg,140.4,107.12,71.57,75.22,7
137,ball0137.jpg,138.35,107.81,72.48,76.12,7
138,ball0138.jpg,137.44,108.03,72.25,76.36,7
139,ball0139.jpg,135.38,108.72,73.4,76.58,7
140,ball0140.jpg,134.25,107.35,74.3,78.4,7
141,ball0141.jpg,133.33,103.48,73.39,76.12,7
142,ball0142.jpg,132.19,99.145,71.57,74.985,7
143,ball0143.jpg,127.86,92.308,71.57,75.212,7
144,ball0144.jpg,125.13,87.749,70.43,71.791,7
145,ball0145.jpg,121.94,83.875,70.2,72.255,7
146,ball0146.jpg,118.52,79.316,69.06,71.564,7
147,ball0147.jpg,115.78,74.986,67.01,70.424,7
148,ball0148.jpg,112.59,71.795,66.1,69.745,7
149,ball0149.jpg,109.4,69.744,66.1,67.916,7
150,ball0150.jpg,107.81,67.692,65.18,66.098,7
151,ball0151.jpg,105.98,66.553,63.82,66.097,7
152,ball0152.jpg,102.79,65.413,63.82,66.557,7
153,ball0153.jpg,101.2,65.869,62.22,66.101,7
154,ball0154.jpg,99.601,68.148,61.309,63.132,7
155,ball0155.jpg,97.778,68.148,61.992,63.822,7
156,ball0156.jpg,95.499,69.972,61.081,62.448,7
157,ball0157.jpg,94.587,71.339,60.173,63.131,7
158,ball0158.jpg,92.764,73.162,59.256,61.998,7
159,ball0159.jpg,91.852,75.442,58.118,61.308,7
160,ball0160.jpg,90.94,77.037,57.44,59.943,7
161,ball0161.jpg,91.396,77.949,56.524,60.171,7
162,ball0162.jpg,90.94,80.456,56.75,58.344,7
163,ball0163.jpg,90.94,82.279,55.84,56.751,7
164,ball0164.jpg,90.712,82.735,55.608,57.895,7
165,ball0165.jpg,90.712,85.47,55.158,56.07,7
166,ball0166.jpg,90.484,86.61,54.476,55.84,7
167,ball0167.jpg,90.028,87.521,54.242,56.529,7
168,ball0168.jpg,88.889,87.521,54.471,55.839,7
169,ball0169.jpg,89.117,88.889,53.333,54.931,7
170,ball0170.jpg,89.345,89.573,52.645,54.927,7
171,ball0171.jpg,88.661,90.712,52.649,53.108,7
172,ball0172.jpg,89.117,91.168,51.053,52.192,7
173,ball0173.jpg,88.205,91.852,50.595,50.828,7
174,ball0174.jpg,87.293,91.396,49.687,51.284,7
175,ball0175.jpg,86.382,91.852,50.138,51.508,7
176,ball0176.jpg,85.47,92.536,48.78,51.284,7
177,ball0177.jpg,82.735,94.131,48.545,50.139,7
178,ball0178.jpg,81.823,94.131,47.637,50.139,7
179,ball0179.jpg,78.86,94.131,48.32,50.829,7
180,ball0180.jpg,77.265,93.675,46.955,49.235,7
181,ball0181.jpg,75.214,93.219,47.406,48.321,7
182,ball0182.jpg,79.088,91.624,49.692,48.776,7
183,ball0183.jpg,87.521,92.536,51.279,50.144,7
184,ball0184.jpg,99.373,95.271,54.017,48.319,7
185,ball0185.jpg,115.56,99.145,56.75,49.915,7
186,ball0186.jpg,133.11,104.16,56.52,52.19,7
187,ball0187.jpg,147.24,105.3,53.33,51.28,7
188,ball0188.jpg,179.37,127.18,52.42,54.02,7
189,ball0189.jpg,179.6,126.27,53.79,55.61,7
190,ball0190.jpg,180.74,127.41,52.88,54.01,7
191,ball0191.jpg,177.78,127.41,52.88,54.01,7
192,ball0192.jpg,177.32,128.09,53.56,53.33,7
193,ball0193.jpg,179.6,127.86,52.65,54.7,7
194,ball0194.jpg,178.92,128.09,53.56,54.7,7
195,ball0195.jpg,180.28,129.69,52.43,53.33,7
196,ball0196.jpg,182.79,129.69,52.2,53.56,7
197,ball0197.jpg,184.39,129.91,51.05,54.48,7
198,ball0198.jpg,185.07,130.14,53.33,55.16,7
199,ball0199.jpg,188.26,131.97,52.65,52.87,7
200,ball0200.jpg,190.54,132.65,51.51,52.88,7
201,ball0201.jpg,191.91,132.88,51.74,52.42,7
202,ball0202.jpg,192.82,132.65,51.74,52.88,7
203,ball0203.jpg,193.96,132.65,51.05,51.51,7
204,ball0204.jpg,194.87,132.65,50.37,51.74,7
205,ball0205.jpg,194.64,130.83,50.83,51.73,7
206,ball0206.jpg,194.87,131.05,49.92,50.15,7
207,ball0207.jpg,194.64,130.14,49.92,51.97,7
208,ball0208.jpg,195.33,129.91,49,51.74,7
209,ball0209.jpg,196.01,129,48.78,50.37,7
210,ball0210.jpg,197.38,128.32,48.77,51.05,7
211,ball0211.jpg,199.43,128.09,47.86,49.92,7
212,ball0212.jpg,199.43,127.18,49,50.14,7
213,ball0213.jpg,201.03,126.04,48.09,49.69,7
214,ball0214.jpg,203.53,126.27,45.81,47.63,7
215,ball0215.jpg,203.99,124.9,46.49,48.32,7
216,ball0216.jpg,205.81,125.36,46.73,46.49,7
217,ball0217.jpg,203.53,127.41,48.09,43.76,7
218,ball0218.jpg,196.47,127.18,47.86,43.99,7
219,ball0219.jpg,189.86,126.72,48.54,44.68,7
220,ball0220.jpg,183.7,127.41,47.64,43.07,7
221,ball0221.jpg,178.92,126.04,46.72,43.99,7
222,ball0222.jpg,172.99,127.18,47.86,42.62,7
223,ball0223.jpg,170.94,126.04,45.36,44.44,7
224,ball0224.jpg,168.43,124.9,44.68,45.13,7
225,ball0225.jpg,164.56,125.58,44.67,44.45,7
226,ball0226.jpg,161.82,125.81,45.13,44.22,7
227,ball0227.jpg,160.23,126.5,44.9,44.21,7
228,ball0228.jpg,158.63,127.41,45.36,43.07,7
229,ball0229.jpg,158.4,125.81,44.9,44.9,7
230,ball0230.jpg,158.18,125.81,45.58,45.36,7
231,ball0231.jpg,157.95,125.58,45.58,46.5,7
232,ball0232.jpg,157.95,125.13,45.35,46.27,7
233,ball0233.jpg,158.86,125.81,45.58,46.04,7
234,ball0234.jpg,159.09,125.81,45.35,46.04,7
235,ball0235.jpg,159.09,126.04,45.13,46.04,7
236,ball0236.jpg,159.77,125.13,45.59,47.18,7
237,ball0237.jpg,160.23,125.81,45.13,46.95,7
238,ball0238.jpg,161.14,125.81,45.13,46.95,7
239,ball0239.jpg,161.14,126.04,45.58,46.72,7
240,ball0240.jpg,162.05,126.04,45.36,46.95,7
241,ball0241.jpg,162.28,126.5,45.81,47.63,7
242,ball0242.jpg,160.68,127.41,45.82,46.27,7
243,ball0243.jpg,157.49,128.09,44.9,46.5,7
244,ball0244.jpg,154.53,128.32,43.76,46.95,7
245,ball0245.jpg,149.29,129.46,45.58,46.27,7
246,ball0246.jpg,144.27,131.97,47.64,46.49,7
247,ball0247.jpg,141.31,133.33,46.95,48.09,7
248,ball0248.jpg,137.21,134.7,46.95,47.86,7
249,ball0249.jpg,132.42,136.75,46.95,48.09,7
250,ball0250.jpg,128.32,137.89,48.32,49.69,7
251,ball0251.jpg,124.44,140.63,49.69,50.14,7
252,ball0252.jpg,122.17,141.99,48.54,50.37,7
253,ball0253.jpg,118.97,143.13,48.78,51.06,7
254,ball0254.jpg,118.06,144.96,49.46,50.6,7
255,ball0255.jpg,116.01,145.64,50.6,52.42,7
256,ball0256.jpg,116.24,146.78,50.14,51.51,7
257,ball0257.jpg,117.15,145.87,50.83,53.1,7
258,ball0258.jpg,119.66,145.19,52.42,53.1,7
259,ball0259.jpg,123.3,143.13,52.88,52.65,7
260,ball0261.jpg,127.86,140.4,54.25,53.56,7
261,ball0262.jpg,133.56,137.89,53.11,54.25,7
262,ball0263.jpg,135.84,135.61,52.42,53.56,7
263,ball0264.jpg,137.89,134.02,54.47,54.01,7
264,ball0265.jpg,143.13,131.97,53.57,53.79,7
265,ball0266.jpg,145.41,129.69,52.88,54.47,7
266,ball0267.jpg,147.01,128.55,54.47,54.93,7
267,ball0268.jpg,150.88,125.36,55.39,56.29,7
268,ball0269.jpg,152.25,122.62,54.47,56.3,7
269,ball0270.jpg,153.39,119.66,55.16,56.98,7
270,ball0271.jpg,152.48,116.01,56.3,57.44,7
271,ball0272.jpg,151.57,113.73,55.84,56.98,7
272,ball0273.jpg,150.66,111.91,55.84,57.21,7
273,ball0274.jpg,148.83,109.63,55.61,58.8,7
274,ball0275.jpg,146.55,107.58,55.84,58.12,7
275,ball0276.jpg,144.05,105.07,56.29,58.8,7
276,ball0277.jpg,140.85,104.39,57.44,57.89,7
277,ball0278.jpg,138.12,103.02,57.89,58.58,7
278,ball0279.jpg,134.93,101.65,57.89,59.72,7
279,ball0280.jpg,132.65,100.28,58.12,61.09,7
280,ball0281.jpg,130.6,99.829,57.66,60.851,7
281,ball0282.jpg,127.64,99.829,57.66,59.941,7
282,ball0283.jpg,125.13,99.601,58.12,60.399,7
283,ball0284.jpg,123.08,98.917,59.48,61.763,7
284,ball0285.jpg,121.25,98.234,59.95,62.446,7
285,ball0286.jpg,120.8,97.094,61.08,61.996,7
286,ball0287.jpg,121.48,95.271,60.63,63.819,7
287,ball0288.jpg,122.17,93.903,60.62,64.047,7
288,ball0289.jpg,121.25,93.219,63.37,62.911,7
